,s1,s2,s3,s4,e1,e2,e3,e4
0,0.1,0.1,0.1,0.1,0.1965999999999931,0.1965999999999931,0.1965999999999931,0.41020000000002066
1,0.1,0.1,0.1,0.2,0.1965999999999931,0.1965999999999931,0.1965999999999931,0.41020000000002066
2,0.1,0.1,0.1,0.30000000000000004,0.1965999999999931,0.1965999999999931,0.1965999999999931,0.41020000000002066
3,0.1,0.1,0.1,0.5,0.1965999999999931,0.1965999999999931,0.1965999999999931,0.41020000000002066
4,0.1,0.1,0.1,0.6,0.1965999999999931,0.1965999999999931,0.1965999999999931,0.41020000000002066
5,0.1,0.1,0.1,0.7,0.1965999999999931,0.1965999999999931,0.1965999999999931,0.41020000000002066
6,0.1,0.1,0.2,0.1,0.14745,0.14745,0.2949,0.4102
7,0.1,0.1,0.2,0.2,0.14745,0.14745,0.2949,0.4102
8,0.1,0.1,0.2,0.30000000000000004,0.14745,0.14745,0.2949,0.4102
9,0.1,0.1,0.2,0.5,0.14745,0.14745,0.2949,0.4102
10,0.1,0.1,0.2,0.6,0.14745,0.14745,0.2949,0.4102
11,0.1,0.1,0.30000000000000004,0.1,0.1179600000000241,0.1179600000000241,0.353879999999951,0.41020000000000084
12,0.1,0.1,0.30000000000000004,0.2,0.1179600000000241,0.1179600000000241,0.353879999999951,0.41020000000000084
13,0.1,0.1,0.30000000000000004,0.30000000000000004,0.1179600000000241,0.1179600000000241,0.353879999999951,0.41020000000000084
14,0.1,0.1,0.30000000000000004,0.5,0.1179600000000241,0.1179600000000241,0.353879999999951,0.41020000000000084
15,0.1,0.1,0.4,0.1,0.09829999999999656,0.09829999999999656,0.3931999999999862,0.41020000000002066
16,0.1,0.1,0.4,0.2,0.09829999999999656,0.09829999999999656,0.3931999999999862,0.41020000000002066
17,0.1,0.1,0.4,0.30000000000000004,0.09829999999999656,0.09829999999999656,0.3931999999999862,0.41020000000002066
18,0.1,0.1,0.5,0.1,0.08425714285712868,0.08425714285712868,0.421285714285742,0.4102000000000007
19,0.1,0.1,0.5,0.2,0.08425714285712868,0.08425714285712868,0.421285714285742,0.4102000000000007
20,0.1,0.1,0.5,0.30000000000000004,0.08425714285712868,0.08425714285712868,0.421285714285742,0.4102000000000007
21,0.1,0.1,0.6,0.1,0.07372500000000001,0.07372500000000001,0.44235,0.4102
22,0.1,0.1,0.7,0.1,0.06553333333332478,0.06553333333332478,0.4587333333333416,0.41020000000000895
23,0.1,0.2,0.1,0.1,0.14745,0.2949,0.14745,0.4102
24,0.1,0.2,0.1,0.2,0.14745,0.2949,0.14745,0.4102
25,0.1,0.2,0.1,0.30000000000000004,0.14745,0.2949,0.14745,0.4102
26,0.1,0.2,0.1,0.5,0.14745,0.2949,0.14745,0.4102
27,0.1,0.2,0.1,0.6,0.14745,0.2949,0.14745,0.4102
28,0.1,0.2,0.2,0.1,0.11796000000000538,0.23592000000001076,0.23592000000001076,0.41019999999997314
29,0.1,0.2,0.2,0.2,0.11796000000000538,0.23592000000001076,0.23592000000001076,0.41019999999997314
30,0.1,0.2,0.2,0.30000000000000004,0.11796000000000538,0.23592000000001076,0.23592000000001076,0.41019999999997314
31,0.1,0.2,0.2,0.5,0.11796000000000538,0.23592000000001076,0.23592000000001076,0.41019999999997314
32,0.1,0.2,0.30000000000000004,0.1,0.09829999999999335,0.1965999999999867,0.2949000000000092,0.41020000000001083
33,0.1,0.2,0.30000000000000004,0.2,0.09829999999999335,0.1965999999999867,0.2949000000000092,0.41020000000001083
34,0.1,0.2,0.30000000000000004,0.30000000000000004,0.09829999999999335,0.1965999999999867,0.2949000000000092,0.41020000000001083
35,0.1,0.2,0.4,0.1,0.08425714285714136,0.16851428571428273,0.33702857142856546,0.41020000000001045
36,0.1,0.2,0.4,0.2,0.08425714285714136,0.16851428571428273,0.33702857142856546,0.41020000000001045
37,0.1,0.2,0.5,0.1,0.073725,0.14745,0.368625,0.4102
38,0.1,0.30000000000000004,0.1,0.1,0.1179600000000241,0.353879999999951,0.1179600000000241,0.41020000000000084
39,0.1,0.30000000000000004,0.1,0.2,0.1179600000000241,0.353879999999951,0.1179600000000241,0.41020000000000084
40,0.1,0.30000000000000004,0.1,0.30000000000000004,0.1179600000000241,0.353879999999951,0.1179600000000241,0.41020000000000084
41,0.1,0.30000000000000004,0.1,0.5,0.1179600000000241,0.353879999999951,0.1179600000000241,0.41020000000000084
42,0.1,0.30000000000000004,0.2,0.1,0.09829999999999338,0.2949000000000091,0.19659999999998676,0.4102000000000107
43,0.1,0.30000000000000004,0.2,0.2,0.09829999999999338,0.2949000000000091,0.19659999999998676,0.4102000000000107
44,0.1,0.30000000000000004,0.2,0.30000000000000004,0.09829999999999338,0.2949000000000091,0.19659999999998676,0.4102000000000107
45,0.1,0.30000000000000004,0.30000000000000004,0.1,0.08425714285714035,0.25277142857142654,0.25277142857142654,0.4102000000000066
46,0.1,0.30000000000000004,0.30000000000000004,0.2,0.08425714285714035,0.25277142857142654,0.25277142857142654,0.4102000000000066
47,0.1,0.30000000000000004,0.4,0.1,0.073725,0.22117500000000004,0.2949,0.4102
48,0.1,0.4,0.1,0.1,0.09829999999999654,0.39319999999998617,0.09829999999999654,0.4102000000000206
49,0.1,0.4,0.1,0.2,0.09829999999999654,0.39319999999998617,0.09829999999999654,0.4102000000000206
50,0.1,0.4,0.1,0.30000000000000004,0.09829999999999654,0.39319999999998617,0.09829999999999654,0.4102000000000206
51,0.1,0.4,0.2,0.1,0.08425714285714136,0.33702857142856546,0.16851428571428273,0.41020000000001045
52,0.1,0.4,0.2,0.2,0.08425714285714136,0.33702857142856546,0.16851428571428273,0.41020000000001045
53,0.1,0.4,0.2,0.30000000000000004,0.08425714285714136,0.33702857142856546,0.16851428571428273,0.41020000000001045
54,0.1,0.4,0.30000000000000004,0.1,0.073725,0.2949,0.22117500000000004,0.4102
55,0.1,0.5,0.1,0.1,0.08425714285713827,0.42128571428572803,0.08425714285713827,0.41019999999999535
56,0.1,0.5,0.1,0.2,0.08425714285713827,0.42128571428572803,0.08425714285713827,0.41019999999999535
57,0.1,0.5,0.1,0.30000000000000004,0.08425714285713827,0.42128571428572803,0.08425714285713827,0.41019999999999535
58,0.1,0.5,0.2,0.1,0.073725,0.368625,0.14745,0.4102
59,0.1,0.6,0.1,0.1,0.07372500000000001,0.44235,0.07372500000000001,0.4102
60,0.1,0.6,0.1,0.2,0.07372500000000001,0.44235,0.07372500000000001,0.4102
61,0.1,0.6,0.2,0.1,0.06553333333332846,0.3931999999999904,0.13106666666665692,0.41020000000002427
62,0.1,0.7,0.1,0.1,0.06553333333332617,0.45873333333333977,0.06553333333332617,0.41020000000000806
63,0.2,0.1,0.1,0.1,0.2949,0.14745,0.14745,0.4102
64,0.2,0.1,0.1,0.2,0.2949,0.14745,0.14745,0.4102
65,0.2,0.1,0.1,0.30000000000000004,0.2949,0.14745,0.14745,0.4102
66,0.2,0.1,0.1,0.5,0.2949,0.14745,0.14745,0.4102
67,0.2,0.1,0.1,0.6,0.2949,0.14745,0.14745,0.4102
68,0.2,0.1,0.2,0.1,0.23592000000001076,0.11796000000000538,0.23592000000001076,0.41019999999997314
69,0.2,0.1,0.2,0.2,0.23592000000001076,0.11796000000000538,0.23592000000001076,0.41019999999997314
70,0.2,0.1,0.2,0.30000000000000004,0.23592000000001076,0.11796000000000538,0.23592000000001076,0.41019999999997314
71,0.2,0.1,0.2,0.5,0.23592000000001076,0.11796000000000538,0.23592000000001076,0.41019999999997314
72,0.2,0.1,0.30000000000000004,0.1,0.1965999999999867,0.09829999999999335,0.2949000000000092,0.41020000000001083
73,0.2,0.1,0.30000000000000004,0.2,0.1965999999999867,0.09829999999999335,0.2949000000000092,0.41020000000001083
74,0.2,0.1,0.30000000000000004,0.30000000000000004,0.1965999999999867,0.09829999999999335,0.2949000000000092,0.41020000000001083
75,0.2,0.1,0.4,0.1,0.16851428571428273,0.08425714285714136,0.33702857142856546,0.41020000000001045
76,0.2,0.1,0.4,0.2,0.16851428571428273,0.08425714285714136,0.33702857142856546,0.41020000000001045
77,0.2,0.1,0.5,0.1,0.14745,0.073725,0.368625,0.4102
78,0.2,0.2,0.1,0.1,0.23592000000001076,0.23592000000001076,0.11796000000000538,0.41019999999997314
79,0.2,0.2,0.1,0.2,0.23592000000001076,0.23592000000001076,0.11796000000000538,0.41019999999997314
80,0.2,0.2,0.1,0.30000000000000004,0.23592000000001076,0.23592000000001076,0.11796000000000538,0.41019999999997314
81,0.2,0.2,0.1,0.5,0.23592000000001076,0.23592000000001076,0.11796000000000538,0.41019999999997314
82,0.2,0.2,0.2,0.1,0.1965999999999931,0.1965999999999931,0.1965999999999931,0.41020000000002066
83,0.2,0.2,0.2,0.2,0.1965999999999931,0.1965999999999931,0.1965999999999931,0.41020000000002066
84,0.2,0.2,0.2,0.30000000000000004,0.1965999999999931,0.1965999999999931,0.1965999999999931,0.41020000000002066
85,0.2,0.2,0.30000000000000004,0.1,0.16851428571428193,0.16851428571428193,0.2527714285714277,0.4102000000000085
86,0.2,0.2,0.30000000000000004,0.2,0.16851428571428193,0.16851428571428193,0.2527714285714277,0.4102000000000085
87,0.2,0.2,0.4,0.1,0.14745,0.14745,0.2949,0.4102
88,0.2,0.30000000000000004,0.1,0.1,0.1965999999999867,0.2949000000000092,0.09829999999999335,0.41020000000001083
89,0.2,0.30000000000000004,0.1,0.2,0.1965999999999867,0.2949000000000092,0.09829999999999335,0.41020000000001083
90,0.2,0.30000000000000004,0.1,0.30000000000000004,0.1965999999999867,0.2949000000000092,0.09829999999999335,0.41020000000001083
91,0.2,0.30000000000000004,0.2,0.1,0.16851428571428193,0.2527714285714277,0.16851428571428193,0.4102000000000085
92,0.2,0.30000000000000004,0.2,0.2,0.16851428571428193,0.2527714285714277,0.16851428571428193,0.4102000000000085
93,0.2,0.30000000000000004,0.2,0.30000000000000004,0.16851428571428193,0.2527714285714277,0.16851428571428193,0.4102000000000085
94,0.2,0.30000000000000004,0.30000000000000004,0.1,0.14745,0.22117500000000004,0.22117500000000004,0.4102
95,0.2,0.4,0.1,0.1,0.16851428571428273,0.33702857142856546,0.08425714285714136,0.41020000000001045
96,0.2,0.4,0.1,0.2,0.16851428571428273,0.33702857142856546,0.08425714285714136,0.41020000000001045
97,0.2,0.4,0.2,0.1,0.14745,0.2949,0.14745,0.4102
98,0.2,0.5,0.1,0.1,0.14745000000000003,0.368625,0.07372500000000001,0.4102
99,0.2,0.5,0.1,0.2,0.14745000000000003,0.368625,0.07372500000000001,0.4102
100,0.2,0.5,0.2,0.1,0.1310666666666491,0.32766666666670397,0.1310666666666491,0.4101999999999979
101,0.30000000000000004,0.1,0.1,0.1,0.353879999999951,0.1179600000000241,0.1179600000000241,0.41020000000000084
102,0.30000000000000004,0.1,0.1,0.2,0.353879999999951,0.1179600000000241,0.1179600000000241,0.41020000000000084
103,0.30000000000000004,0.1,0.1,0.30000000000000004,0.353879999999951,0.1179600000000241,0.1179600000000241,0.41020000000000084
104,0.30000000000000004,0.1,0.1,0.5,0.353879999999951,0.1179600000000241,0.1179600000000241,0.41020000000000084
105,0.30000000000000004,0.1,0.2,0.1,0.2949000000000091,0.09829999999999338,0.19659999999998676,0.4102000000000107
106,0.30000000000000004,0.1,0.2,0.2,0.2949000000000091,0.09829999999999338,0.19659999999998676,0.4102000000000107
107,0.30000000000000004,0.1,0.2,0.30000000000000004,0.2949000000000091,0.09829999999999338,0.19659999999998676,0.4102000000000107
108,0.30000000000000004,0.1,0.30000000000000004,0.1,0.25277142857142654,0.08425714285714035,0.25277142857142654,0.4102000000000066
109,0.30000000000000004,0.1,0.30000000000000004,0.2,0.25277142857142654,0.08425714285714035,0.25277142857142654,0.4102000000000066
110,0.30000000000000004,0.1,0.4,0.1,0.22117500000000004,0.073725,0.2949,0.4102
111,0.30000000000000004,0.2,0.1,0.1,0.2949000000000092,0.1965999999999867,0.09829999999999335,0.41020000000001083
112,0.30000000000000004,0.2,0.1,0.2,0.2949000000000092,0.1965999999999867,0.09829999999999335,0.41020000000001083
113,0.30000000000000004,0.2,0.1,0.30000000000000004,0.2949000000000092,0.1965999999999867,0.09829999999999335,0.41020000000001083
114,0.30000000000000004,0.2,0.2,0.1,0.2527714285714277,0.16851428571428193,0.16851428571428193,0.4102000000000085
115,0.30000000000000004,0.2,0.2,0.2,0.2527714285714277,0.16851428571428193,0.16851428571428193,0.4102000000000085
116,0.30000000000000004,0.2,0.2,0.30000000000000004,0.2527714285714277,0.16851428571428193,0.16851428571428193,0.4102000000000085
117,0.30000000000000004,0.2,0.30000000000000004,0.1,0.22117500000000004,0.14745,0.22117500000000004,0.4102
118,0.30000000000000004,0.30000000000000004,0.1,0.1,0.2527714285714265,0.2527714285714265,0.08425714285714056,0.41020000000000656
119,0.30000000000000004,0.30000000000000004,0.1,0.2,0.2527714285714265,0.2527714285714265,0.08425714285714056,0.41020000000000656
120,0.30000000000000004,0.30000000000000004,0.2,0.1,0.22117500000000004,0.22117500000000004,0.14745,0.4102
121,0.30000000000000004,0.4,0.1,0.1,0.22117500000000004,0.2949,0.073725,0.4102
122,0.4,0.1,0.1,0.1,0.39319999999998617,0.09829999999999654,0.09829999999999654,0.4102000000000206
123,0.4,0.1,0.1,0.2,0.39319999999998617,0.09829999999999654,0.09829999999999654,0.4102000000000206
124,0.4,0.1,0.1,0.30000000000000004,0.39319999999998617,0.09829999999999654,0.09829999999999654,0.4102000000000206
125,0.4,0.1,0.2,0.1,0.33702857142856546,0.08425714285714136,0.16851428571428273,0.41020000000001045
126,0.4,0.1,0.2,0.2,0.33702857142856546,0.08425714285714136,0.16851428571428273,0.41020000000001045
127,0.4,0.1,0.2,0.30000000000000004,0.33702857142856546,0.08425714285714136,0.16851428571428273,0.41020000000001045
128,0.4,0.1,0.30000000000000004,0.1,0.2949,0.073725,0.22117500000000004,0.4102
129,0.4,0.2,0.1,0.1,0.33702857142856546,0.16851428571428273,0.08425714285714136,0.41020000000001045
130,0.4,0.2,0.1,0.2,0.33702857142856546,0.16851428571428273,0.08425714285714136,0.41020000000001045
131,0.4,0.2,0.2,0.1,0.2949,0.14745,0.14745,0.4102
132,0.4,0.30000000000000004,0.1,0.1,0.2949,0.22117500000000004,0.073725,0.4102
133,0.5,0.1,0.1,0.1,0.42128571428572803,0.08425714285713827,0.08425714285713827,0.41019999999999535
134,0.5,0.1,0.1,0.2,0.42128571428572803,0.08425714285713827,0.08425714285713827,0.41019999999999535
135,0.5,0.1,0.1,0.30000000000000004,0.42128571428572803,0.08425714285713827,0.08425714285713827,0.41019999999999535
136,0.5,0.1,0.2,0.1,0.368625,0.073725,0.14745,0.4102
137,0.5,0.2,0.1,0.1,0.368625,0.14745000000000003,0.07372500000000001,0.4102
138,0.5,0.2,0.1,0.2,0.368625,0.14745000000000003,0.07372500000000001,0.4102
139,0.5,0.2,0.2,0.1,0.32766666666670397,0.1310666666666491,0.1310666666666491,0.4101999999999979
140,0.6,0.1,0.1,0.1,0.44235,0.07372500000000001,0.07372500000000001,0.4102
141,0.6,0.1,0.1,0.2,0.44235,0.07372500000000001,0.07372500000000001,0.4102
142,0.6,0.1,0.2,0.1,0.3931999999999904,0.06553333333332846,0.13106666666665692,0.41020000000002427
143,0.7,0.1,0.1,0.1,0.45873333333333977,0.06553333333332617,0.06553333333332617,0.41020000000000806
